Timestamp,What is your student ID number?,What is your phone's network provider?,What OS does your phone use?,How many apps do you have on your phone?,What was your data usage for December 2015 (in MB)?,What was your total call time for December 2015 (in minutes)?,"How long ago did you obtain your phone (in months, rounded up)?"
12/29/2015 17:00:19,395860,Verizon,iOS,43,1855,0,14
12/29/2015 19:59:44,442920,Verizon,iOS,43,288,68,1
12/29/2015 21:03:45,455725,T-Mobile,iOS,40,910,50,4
12/29/2015 21:10:20,455688,AT&T,iOS,75,400,52,14
12/29/2015 21:36:06,452263,AT&T,iOS,30,12000,4000,3
12/29/2015 22:19:56,415615,T-Mobile,Android,50,1620,122,3
12/29/2015 22:51:21,455685,T-Mobile,Windows,97,1308,20,12
12/30/2015 10:57:17,451191,AT&T,iOS,62,4245,180,14
12/30/2015 11:37:16,455679,AT&T,iOS,14,458,111,4
12/30/2015 12:30:21,451715,Verizon,iOS,63,6000,120,3
12/30/2015 16:32:16,317103,AT&T,My phone is not a smartphone,0,0,449,24
12/30/2015 17:14:58,3610569,AT&T,iOS,24,525,166,24
1/2/2016 16:31:51,460256,Verizon,iOS,35,0,0,0
1/3/2016 20:12:41,806427,AT&T,iOS,49,1112,234,4
1/4/2016 13:08:56,452261,AT&T,iOS,22,931,42,14
1/4/2016 13:14:07,459889,AT&T,iOS,15,4,550,12
1/4/2016 13:18:10,454264,AT&T,iOS,78,393,51,28
1/4/2016 21:12:54,450356,Sprint,Android,79,880,3208,40
1/4/2016 21:13:58,455719,AT&T,iOS,78,840,43,22
1/5/2016 7:01:31,441545,AT&T,iOS,4,221,48,56
1/5/2016 13:24:51,455670,T-Mobile,Android,70,639,50,4
1/5/2016 19:31:37,455998,T-Mobile,iOS,40,1024,0,1
1/6/2016 10:41:24,727239,Verizon,Android,74,1750,96,13
1/6/2016 12:10:07,458174,T-Mobile,iOS,20,500,100,5