date,price
 2008/01/03,26.345
 2008/01/04,25.436
 2008/01/07,25.511
 2008/01/08,26.053
 2008/01/09,26.32
 2008/01/10,25.895
 2008/01/11,24.703
 2008/01/14,24.92
 2008/01/15,25.253
 2008/01/16,25.811
 2008/01/17,25.511
 2008/01/18,24.878
 2008/01/22,23.02
 2008/01/23,25.086
 2008/01/24,26.311
 2008/01/25,26.211
 2008/01/28,25.386
 2008/01/29,25.128
 2008/01/30,25.611
 2008/01/31,23.728
 2008/02/01,22.403
 2008/02/04,24.628
 2008/02/05,25.095
 2008/02/13,24.711
 2008/02/14,25.878
 2008/02/15,26.22
 2008/02/18,27.62
 2008/02/19,27.161
 2008/02/20,27.661
 2008/02/21,28.37
 2008/02/22,27.42
 2008/02/25,25.545
 2008/02/26,25.936
 2008/02/27,25.77
 2008/02/28,25.77
 2008/02/29,26.061
 2008/03/03,27.92
 2008/03/04,27.37
 2008/03/05,26.436
 2008/03/06,26.811
 2008/03/07,26.311
 2008/03/10,25.378
 2008/03/11,24.92
 2008/03/12,24.12
 2008/03/13,23.378
 2008/03/14,23.62
 2008/03/17,21.853
 2008/03/18,20.995
 2008/03/19,22.053
 2008/03/20,22.72
 2008/03/21,22.278
 2008/03/24,22.645
 2008/03/25,22.061
 2008/03/26,22.378
 2008/03/27,21.553
 2008/03/28,21.628
 2008/03/31,21.07
 2008/04/01,19.445
 2008/04/02,18.761
 2008/04/03,19.036
 2008/04/07,20.936
 2008/04/08,21.028
 2008/04/09,20.578
 2008/04/10,20.853
 2008/04/11,21.603
 2008/04/14,20.486
 2008/04/15,21.211
 2008/04/16,21.561
 2008/04/17,20.778
 2008/04/18,20.961
 2008/04/21,21.136
 2008/04/22,20.611
 2008/04/23,21.053
 2008/04/24,23.02
 2008/04/25,22.886
 2008/04/28,22.828
 2008/04/29,23.095
 2008/04/30,24.511
 2008/05/05,24.895
 2008/05/06,23.645
 2008/05/08,24.361
 2008/05/09,23.811
 2008/05/12,25.345
 2008/05/13,27.911
 2008/05/14,26.936
 2008/05/15,25.37
 2008/05/16,25.478
 2008/05/19,25.57
 2008/05/20,23.895
 2008/05/21,24.17
 2008/05/22,23.411
 2008/05/23,22.903
 2008/05/26,22.878
 2008/05/27,23.695
 2008/05/28,24.345
 2008/05/29,23.87
 2008/05/30,23.886
 2008/06/02,23.695
 2008/06/03,23.17
 2008/06/04,23.578
 2008/06/05,23.328
 2008/06/06,23.453
 2008/06/10,21.47
 2008/06/11,21.728
 2008/06/12,21.878
 2008/06/13,21.295
 2008/06/16,21.395
 2008/06/17,20.441
 2008/06/18,21.624
 2008/06/19,19.874
 2008/06/20,20.482
 2008/06/23,20.349
 2008/06/24,21.007
 2008/06/25,21.841
 2008/06/26,21.799
 2008/06/27,20.691
 2008/06/30,20.999
 2008/07/01,20.657
 2008/07/02,20.666
 2008/07/03,21.449
 2008/07/04,20.632
 2008/07/07,21.216
 2008/07/08,22.116
 2008/07/09,23.399
 2008/07/10,22.982
 2008/07/11,23.132
 2008/07/14,23.216
 2008/07/15,22.182
 2008/07/16,22.149
 2008/07/17,22.791
 2008/07/18,23.024
 2008/07/21,23.615
 2008/07/22,23.332
 2008/07/23,22.782
 2008/07/24,22.591
 2008/07/25,22.524
 2008/07/28,22.691
 2008/07/29,22.124
 2008/07/30,22.532
 2008/07/31,22.116
 2008/08/01,22.082
 2008/08/04,21.957
 2008/08/05,20.457
 2008/08/06,20.374
 2008/08/07,20.157
 2008/08/08,19.132
 2008/08/11,18.34
 2008/08/12,18.191
 2008/08/13,17.782
 2008/08/14,17.807
 2008/08/18,17.224
 2008/08/19,17.557
 2008/08/20,18.316
 2008/08/21,17.141
 2008/08/22,15.716
 2008/08/25,15.882
 2008/08/26,15.041
 2008/08/27,14.549
 2008/08/28,13.774
 2008/08/29,14.34
 2008/09/01,14.449
 2008/09/02,14.257
 2008/09/03,14.365
 2008/09/04,14.507
 2008/09/05,14.09
 2008/09/08,14.074
 2008/09/09,14.865
 2008/09/10,14.749
 2008/09/11,14.765
 2008/09/12,15.407
 2008/09/16,15.932
 2008/09/17,15.832
 2008/09/18,15.407
 2008/09/19,17.04
 2008/09/22,17.115
 2008/09/23,16.015
 2008/09/24,16.165
 2008/09/25,17.14
 2008/09/26,17.84
 2008/10/06,17.374
 2008/10/07,18.232
 2008/10/08,17.707
 2008/10/09,17.407
 2008/10/10,17.165
 2008/10/13,17.557
 2008/10/14,17.157
 2008/10/15,16.632
 2008/10/16,16.29
 2008/10/17,16.307
 2008/10/20,16.307
 2008/10/21,16.707
 2008/10/22,16.407
 2008/10/23,16.132
 2008/10/24,15.857
 2008/10/27,15.415
 2008/10/28,15.474
 2008/10/29,15.707
 2008/10/30,15.774
 2008/10/31,15.99
 2008/11/03,16.557
 2008/11/04,16.649
 2008/11/05,17.115
 2008/11/06,17.157
 2008/11/07,17.174
 2008/11/10,17.374
 2008/11/11,16.432
 2008/11/12,16.449
 2008/11/13,16.79
 2008/11/14,17.882
 2008/11/17,18.182
 2008/11/18,16.94
 2008/11/19,17.757
 2008/11/20,17.765
 2008/11/21,17.89
 2008/11/24,17.924
 2008/11/25,17.757
 2008/11/26,17.657
 2008/11/27,17.924
 2008/11/28,18.132
 2008/12/01,18.232
 2008/12/02,18.282
 2008/12/03,18.757
 2008/12/04,18.782
 2008/12/05,18.857
 2008/12/08,19.79
 2008/12/09,19.357
 2008/12/10,19.882
 2008/12/11,19.84
 2008/12/12,19.474
 2008/12/15,19.524
 2008/12/16,19.865
 2008/12/17,20.032
 2008/12/18,20.724
 2008/12/19,20.774
 2008/12/22,20.532
 2008/12/23,19.374
 2008/12/24,18.832
 2008/12/25,19.04
 2008/12/26,19.599
 2008/12/29,20.215
 2008/12/30,19.682
 2008/12/31,19.115
 2009/01/05,19.416
 2009/01/06,20.149
 2009/01/07,19.699
 2009/01/08,19.874
 2009/01/09,20.416
 2009/01/12,20.174
 2009/01/13,19.632
 2009/01/14,19.724
 2009/01/15,19.124
 2009/01/16,18.799
 2009/01/19,18.899
 2009/01/21,19.032
 2009/01/22,19.699
 2009/01/23,19.474
 2009/02/02,19.641
 2009/02/03,19.699
 2009/02/04,19.991
 2009/02/05,19.499
 2009/02/06,20.007
 2009/02/09,20.182
 2009/02/10,20.366
 2009/02/11,20.366
 2009/02/12,20.516
 2009/02/13,20.741
 2009/02/16,20.899
 2009/02/17,20.374
 2009/02/18,19.965
 2009/02/19,19.766
 2009/02/20,19.732
 2009/02/23,20.432
 2009/02/24,19.515
 2009/02/25,19.074
 2009/02/26,18.482
 2009/02/27,18.749
 2009/03/02,18.874
 2009/03/03,19.115
 2009/03/04,19.782
 2009/03/05,19.416
 2009/03/06,19.007
 2009/03/09,18.366
 2009/03/10,18.766
 2009/03/11,18.957
 2009/03/12,18.782
 2009/03/13,18.807
 2009/03/16,18.574
 2009/03/17,19.057
 2009/03/18,18.941
 2009/03/19,19.507
 2009/03/20,19.191
 2009/03/23,19.191
 2009/03/24,19.382
 2009/03/25,18.991
 2009/03/26,18.916
 2009/03/27,18.849
 2009/03/30,18.991
 2009/03/31,19.232
 2009/04/01,19.599
 2009/04/02,19.382
 2009/04/03,18.957
 2009/04/07,19.799
 2009/04/08,19.182
 2009/04/09,19.282
 2009/04/10,20.274
 2009/04/13,20.432
 2009/04/14,20.624
 2009/04/15,20.941
 2009/04/16,20.907
 2009/04/17,21.024
 2009/04/20,21.066
 2009/04/21,20.274
 2009/04/22,19.807
 2009/04/23,19.965
 2009/04/24,19.416
 2009/04/27,19.674
 2009/04/28,21.416
 2009/04/29,20.624
 2009/04/30,20.791
 2009/05/04,20.849
 2009/05/05,20.474
 2009/05/06,20.365
 2009/05/07,20.024
 2009/05/08,19.799
 2009/05/11,20.116
 2009/05/12,19.949
 2009/05/13,20.032
 2009/05/14,19.774
 2009/05/15,19.832
 2009/05/18,19.807
 2009/05/19,19.882
 2009/05/20,19.449
 2009/05/21,18.849
 2009/05/22,19.007
 2009/05/25,19.107
 2009/05/26,19.149
 2009/05/27,18.957
 2009/06/02,19.165
 2009/06/03,19.007
 2009/06/04,18.924
 2009/06/05,19.265
 2009/06/08,19.59
 2009/06/09,19.532
 2009/06/10,19.599
 2009/06/11,19.674
 2009/06/12,19.324
 2009/06/15,19.04
 2009/06/16,18.915
 2009/06/17,19.074
 2009/06/18,19.174
 2009/06/19,19.874
 2009/06/22,19.565
 2009/06/23,19.215
 2009/06/24,19.149
 2009/06/25,18.974
 2009/06/26,19.332
 2009/06/29,19.107
 2009/06/30,19.024
 2009/07/01,19.015
 2009/07/02,19.19
 2009/07/03,19.04
 2009/07/06,19.432
 2009/07/07,19.324
 2009/07/08,19.415
 2009/07/09,20.074
 2009/07/10,20.057
 2009/07/13,20.19
 2009/07/14,20.632
 2009/07/15,20.449
 2009/07/16,20.583
 2009/07/17,20.663
 2009/07/20,21.073
 2009/07/21,20.573
 2009/07/22,20.553
 2009/07/23,20.503
 2009/07/24,20.493
 2009/07/27,20.743
 2009/07/28,20.693
 2009/07/29,19.643
 2009/07/30,19.683
 2009/07/31,20.073
 2009/08/03,20.043
 2009/08/04,20.063
 2009/08/05,20.493
 2009/08/06,20.793
 2009/08/07,20.383
 2009/08/10,20.693
 2009/08/11,21.263
 2009/08/12,21.143
 2009/08/13,20.493
 2009/08/14,19.653
 2009/08/17,18.673
 2009/08/18,18.913
 2009/08/19,19.353
 2009/08/20,19.703
 2009/08/21,19.883
 2009/08/24,20.733
 2009/08/25,20.793
 2009/08/26,21.043
 2009/08/27,22.143
 2009/08/28,21.233
 2009/08/31,19.643
 2009/09/01,19.953
 2009/09/02,20.263
 2009/09/03,20.803
 2009/09/04,21.403
 2009/09/07,21.653
 2009/09/08,21.503
 2009/09/09,21.143
 2009/09/10,20.953
 2009/09/11,21.263
 2009/09/14,21.273
 2009/09/15,21.433
 2009/09/16,21.123
 2009/09/17,21.443
 2009/09/18,21.553
 2009/09/21,22.313
 2009/09/22,21.633
 2009/09/23,20.463
 2009/09/24,19.983
 2009/09/25,20.193
 2009/09/28,19.983
 2009/09/29,19.673
 2009/09/30,19.973
 2009/10/09,20.673
 2009/10/12,20.633
 2009/10/13,20.833
 2009/10/14,20.753
 2009/10/15,20.463
 2009/10/16,20.733
 2009/10/19,21.133
 2009/10/20,21.103
 2009/10/21,20.873
 2009/10/22,21.053
 2009/10/23,21.063
 2009/10/26,21.383
 2009/10/27,20.773
 2009/10/28,20.563
 2009/10/29,20.393
 2009/10/30,21.103
 2009/11/02,22.553
 2009/11/03,22.103
 2009/11/04,22.233
 2009/11/05,22.403
 2009/11/06,22.103
 2009/11/09,21.793
 2009/11/10,22.343
 2009/11/11,23.673
 2009/11/12,23.713
 2009/11/13,23.413
 2009/11/16,23.773
 2009/11/17,23.983
 2009/11/18,24.323
 2009/11/19,24.013
 2009/11/20,23.673
 2009/11/23,23.943
 2009/11/24,22.483
 2009/11/25,22.673
 2009/11/26,21.543
 2009/11/27,21.713
 2009/11/30,22.603
 2009/12/01,23.033
 2009/12/02,22.943
 2009/12/03,23.113
 2009/12/04,21.793
 2009/12/07,22.203
 2009/12/08,22.403
 2009/12/09,22.123
 2009/12/10,22.213
 2009/12/11,22.003
 2009/12/14,21.813
 2009/12/15,22.043
 2009/12/16,22.173
 2009/12/17,21.913
 2009/12/18,21.613
 2009/12/21,21.823
 2009/12/22,22.123
 2009/12/23,22.553
 2009/12/24,22.843
 2009/12/25,22.693
 2009/12/28,23.223
 2009/12/29,23.273
 2009/12/30,22.903
 2009/12/31,22.703
 2010/01/04,22.863
 2010/01/05,23.343
 2010/01/06,22.163
 2010/01/07,21.863
 2010/01/08,22.123
 2010/01/11,21.783
 2010/01/12,21.993
 2010/01/13,22.033
 2010/01/14,22.843
 2010/01/15,23.443
 2010/01/18,24.093
 2010/01/19,23.963
 2010/01/20,23.343
 2010/01/21,24.073
 2010/01/22,24.283
 2010/01/25,23.753
 2010/01/26,22.743
 2010/01/27,22.563
 2010/01/28,23.083
 2010/01/29,23.283
 2010/02/01,23.743
 2010/02/02,23.933
 2010/02/03,24.803
 2010/02/04,24.073
 2010/02/05,24.133
 2010/02/08,24.953
 2010/02/09,24.953
 2010/02/10,25.223
 2010/02/11,25.043
 2010/02/12,25.103
 2010/02/22,24.553
 2010/02/23,24.893
 2010/02/24,25.153
 2010/02/25,25.153
 2010/02/26,25.233
 2010/03/01,25.933
 2010/03/02,26.373
 2010/03/03,26.143
 2010/03/04,25.273
 2010/03/05,25.363
 2010/03/08,25.203
 2010/03/09,25.803
 2010/03/10,24.923
 2010/03/11,24.643
 2010/03/12,24.253
 2010/03/15,24.453
 2010/03/16,24.103
 2010/03/17,24.503
 2010/03/18,24.353
 2010/03/19,24.453
 2010/03/22,24.193
 2010/03/23,24.133
 2010/03/24,23.983
 2010/03/25,23.793
 2010/03/26,24.233
 2010/03/29,24.363
 2010/03/30,24.993
 2010/03/31,24.833
 2010/04/01,25.033
 2010/04/02,25.063
 2010/04/06,25.263
 2010/04/07,25.213
 2010/04/08,25.253
 2010/04/09,25.943
 2010/04/12,27.223
 2010/04/13,27.233
 2010/04/14,27.053
 2010/04/15,26.493
 2010/04/16,26.353
 2010/04/19,26.713
 2010/04/20,28.333
 2010/04/21,28.593
 2010/04/22,29.053
 2010/04/23,28.593
 2010/04/26,28.863
 2010/04/27,28.143
 2010/04/28,28.993
 2010/04/29,27.963
 2010/04/30,28.003
 2010/05/04,28.013
 2010/05/05,29.033
 2010/05/06,28.713
 2010/05/07,26.653
 2010/05/10,26.243
 2010/05/11,25.243
 2010/05/12,24.843
 2010/05/13,26.113
 2010/05/14,27.153
 2010/05/17,26.023
 2010/05/18,26.373
 2010/05/19,26.323
 2010/05/20,25.933
 2010/05/21,25.953
 2010/05/24,26.943
 2010/05/25,27.543
 2010/05/26,26.863
 2010/05/27,27.183
 2010/05/28,28.433
 2010/05/31,28.213
 2010/06/01,27.443
 2010/06/02,27.943
 2010/06/03,27.683
 2010/06/04,27.753
 2010/06/07,27.453
 2010/06/08,28.043
 2010/06/09,27.933
 2010/06/11,26.773
 2010/06/17,26.313
 2010/06/18,25.273
 2010/06/21,25.153
 2010/06/22,25.693
 2010/06/23,25.203
 2010/06/24,25.483
 2010/06/25,24.933
 2010/06/28,24.833
 2010/06/29,24.913
 2010/06/30,25.113
 2010/07/01,24.503
 2010/07/02,22.786
 2010/07/05,22.476
 2010/07/06,23.386
 2010/07/07,23.436
 2010/07/08,23.286
 2010/07/09,23.296
 2010/07/12,23.376
 2010/07/13,22.586
 2010/07/14,22.786
 2010/07/15,22.716
 2010/07/16,23.326
 2010/07/19,23.356
 2010/07/20,24.236
 2010/07/21,24.236
 2010/07/22,24.406
 2010/07/23,24.386
 2010/07/26,25.326
 2010/07/27,24.936
